141,125,231,164,1.000000
138,126,222,162,0.744320
132,127,216,163,0.750146
127,127,207,161,0.704537
122,128,199,161,0.712903
118,125,201,160,0.733157
113,124,198,161,0.725870
108,123,193,159,0.725453
103,124,189,161,0.717568
97,121,187,160,0.826727
94,121,177,157,0.752088
89,120,176,157,0.730326
84,119,172,157,0.719088
78,120,163,157,0.714555
74,118,161,155,0.741251
70,119,153,155,0.758189
65,117,150,154,0.740994
61,118,144,154,0.745746
54,117,138,153,0.718676
48,114,141,154,0.741996
43,115,130,153,0.741374
38,115,122,151,0.722488
31,115,117,152,0.735982
25,114,113,152,0.732812
19,116,103,152,0.727202
14,115,100,152,0.740630
9,117,94,154,0.749345
4,120,86,155,0.775590
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
1,115,76,147,0.680242
1,109,91,148,0.686744
3,110,88,146,0.711532
4,108,91,145,0.730482
6,108,92,145,0.720849
13,107,98,143,0.744830
19,106,104,142,0.747017
22,105,107,141,0.735111
28,104,112,140,0.725377
34,104,123,142,0.712787
39,104,122,139,0.703646
44,104,131,141,0.719389
50,105,135,141,0.728545
54,106,138,142,0.745656
52,107,138,144,0.725029
53,108,138,145,0.740339
54,110,144,149,0.753151
54,112,139,148,0.712009
55,111,145,150,0.751422
54,114,144,153,0.730759
56,115,144,153,0.729079
56,117,143,154,0.764892
58,119,142,155,0.728381
56,119,142,156,0.738381
57,120,142,157,0.740702
57,121,141,157,0.739219
59,123,144,159,0.731490
57,123,141,159,0.712031
56,124,139,160,0.737653
59,125,142,160,0.721026
58,125,142,161,0.717499
57,126,141,162,0.748468
55,128,137,163,0.721814
55,128,138,163,0.734755
54,130,137,166,0.729056
56,131,139,166,0.743874
55,131,140,168,0.757369
54,132,139,169,0.731067
53,133,136,169,0.711423
55,134,136,169,0.726569
56,136,134,169,0.734036
53,136,137,172,0.709349
52,136,134,171,0.710866
55,138,137,173,0.683470
55,139,137,174,0.739732
59,139,143,175,0.766603
62,141,146,177,0.734013
65,141,145,175,0.718117
66,119,142,151,0.738002
66,141,153,178,0.785772
68,145,147,179,0.713294
74,144,161,181,0.724774
77,146,158,181,0.709686
82,148,164,183,0.710205
83,147,170,184,0.725454
91,149,172,184,0.723053
93,151,177,187,0.776531
96,151,177,185,0.755595
103,151,193,190,0.749295
106,153,187,188,0.712757
110,153,195,189,0.756670
112,153,208,194,0.737984
123,155,205,190,0.775388
122,154,212,193,0.734037
126,155,212,192,0.698274
132,159,212,193,0.752598
134,160,212,193,0.688337
138,160,220,195,0.721494
142,160,225,196,0.719244
155,138,232,171,0.685237
150,164,228,197,0.720969
154,164,229,196,0.688662
154,166,229,198,0.671027
163,165,240,198,0.693635
166,165,247,200,0.710470
170,165,254,201,0.712541
172,167,250,200,0.711397
179,167,260,201,0.754775
180,169,259,203,0.709459
187,169,269,204,0.721707
189,169,272,205,0.726900
192,172,269,205,0.713955
197,172,274,205,0.716775
200,172,281,207,0.716012
201,172,284,208,0.737857
206,173,287,208,0.718074
203,176,285,211,0.736738
206,174,286,208,0.701785
205,175,288,210,0.728995
208,177,287,211,0.702630
211,177,292,212,0.715258
210,179,290,213,0.741527
211,178,294,214,0.756731
211,179,295,215,0.738897
