137,125,227,164
133,126,223,165
128,125,218,164
124,126,214,165
119,124,209,163
115,124,205,163
110,123,200,162
105,123,195,162
100,122,190,161
95,121,185,160
91,121,181,160
86,119,176,158
82,120,172,159
76,118,166,157
71,118,161,157
66,117,156,156
61,117,151,156
55,116,145,155
50,116,140,155
44,115,134,154
39,115,129,154
33,115,123,154
26,114,116,153
21,115,111,154
15,116,105,155
10,117,100,156
4,118,94,157
0,120,90,159
0,122,90,161
0,118,90,157
0,120,90,159
0,126,90,165
0,128,90,167
0,128,90,167
0,128,90,167
0,129,90,168
0,129,90,168
0,128,90,167
0,128,90,167
0,128,90,167
0,128,90,167
0,126,90,165
2,126,92,165
4,125,94,164
7,124,97,163
10,123,100,162
10,121,100,160
14,121,104,160
16,119,106,158
19,119,109,158
20,117,110,156
23,116,113,155
25,115,115,154
29,114,119,153
35,113,125,152
0,109,90,148
6,107,96,146
9,106,99,145
15,105,105,144
21,105,111,144
25,104,115,143
32,103,122,142
36,103,126,142
41,103,131,142
47,104,137,143
51,104,141,143
55,105,145,144
55,107,145,146
56,108,146,147
56,109,146,148
56,111,146,150
57,112,147,151
57,113,147,152
58,115,148,154
58,116,148,155
58,117,148,156
58,118,148,157
58,119,148,158
58,119,148,158
59,121,149,160
59,122,149,161
58,122,148,161
58,124,148,163
58,124,148,163
59,125,149,164
57,126,147,165
58,127,148,166
57,128,147,167
58,129,148,168
57,130,147,169
57,131,147,170
57,131,147,170
57,133,147,172
56,133,146,172
56,135,146,174
56,135,146,174
58,136,148,175
59,137,149,176
63,138,153,177
63,140,153,179
66,139,156,178
68,141,158,180
69,141,159,180
71,143,161,182
75,144,165,183
79,144,169,183
84,146,174,185
86,147,176,186
92,147,182,186
94,149,184,188
99,149,189,188
103,151,193,190
107,152,197,191
112,152,202,191
116,154,206,193
120,154,210,193
124,155,214,194
127,155,217,194
132,157,222,196
136,157,226,196
139,159,229,198
144,159,234,198
147,160,237,199
152,161,242,200
156,161,246,200
160,162,250,201
164,162,254,201
167,163,257,202
173,164,263,203
175,164,265,203
181,165,271,204
183,166,273,205
188,167,278,206
191,167,281,206
194,169,284,208
197,169,287,208
202,170,292,209
202,171,292,210
205,171,295,210
205,174,295,213
207,172,297,211
209,174,299,213
208,175,298,214
211,175,301,214
211,177,301,216
213,177,303,216
214,178,304,217
212,179,302,218
211,180,301,219
210,182,300,221
210,182,300,221
209,183,299,222
208,184,298,223
206,186,296,225
205,187,295,226
205,188,295,227
203,190,293,229
203,191,293,230
203,191,293,230
201,192,291,231
200,194,290,233
199,195,289,234
198,196,288,235
196,197,286,236
196,197,286,236
194,197,284,236
194,197,284,236
192,196,282,235
191,197,281,236
191,196,281,235
190,195,280,234
189,194,279,233
187,192,277,231
187,191,277,230
185,190,275,229
184,188,274,227
183,187,273,226
182,185,272,224
181,185,271,224
179,183,269,222
179,182,269,221
178,180,268,219
177,179,267,218
176,178,266,217
174,177,264,216
173,175,263,214
172,174,262,213
171,174,261,213
170,171,260,210
169,171,259,210
167,170,257,209
166,168,256,207
165,168,255,207
164,166,254,205
162,166,252,205
160,164,250,203
159,163,249,202
158,162,248,201
155,160,245,199
154,160,244,199
152,158,242,197
151,156,241,195
150,155,240,194
148,154,238,193
149,154,239,193
145,150,235,189
145,150,235,189
143,150,233,189
143,149,233,188
140,149,230,188
138,147,228,186
137,148,227,187
137,145,227,184
134,147,224,186
131,145,221,184
130,144,220,183
127,145,217,184
126,143,216,182
126,144,216,183
126,143,216,182
122,142,212,181
121,142,211,181
120,142,210,181
119,142,209,181
117,142,207,181
117,141,207,180
115,141,205,180
114,141,204,180
111,140,201,179
111,140,201,179
108,140,198,179
107,140,197,179
104,141,194,180
102,140,192,179
102,140,192,179
98,141,188,180
96,140,186,179
95,140,185,179
95,141,185,180
96,139,186,178
97,140,187,179
98,139,188,178
101,139,191,178
104,137,194,176
108,137,198,176
111,136,201,175
115,135,205,174
119,135,209,174
123,133,213,172
126,133,216,172
130,131,220,170
134,130,224,169
137,129,227,168
141,128,231,167
144,127,234,166
146,127,236,166
152,126,242,165
152,126,242,165
158,124,248,163
161,124,251,163
163,123,253,162
168,122,258,161
169,122,259,161
175,120,265,159
176,120,266,159
178,119,268,158
178,120,268,159
180,119,270,158
181,120,271,159
182,121,272,160
183,120,273,159
184,122,274,161
180,121,270,160
180,123,270,162
177,125,267,164
175,126,265,165
173,129,263,168
170,129,260,168
169,132,259,171
164,134,254,173
164,135,254,174
160,138,250,177
158,139,248,178
153,143,243,182
152,143,242,182
148,145,238,184
147,147,237,186
144,146,234,185
143,148,233,187
141,147,231,186
140,145,230,184
137,145,227,184
135,144,225,183
134,143,224,182
131,141,221,180
129,140,219,179
127,138,217,177
124,137,214,176
123,135,213,174
119,134,209,173
118,132,208,171
116,131,206,170
114,129,204,168
113,128,203,167
111,128,201,167
109,128,199,167
108,128,198,167
109,129,199,168
110,129,200,168
110,129,200,168
112,130,202,169
112,130,202,169
113,130,203,169
114,130,204,169
115,130,205,169
119,129,209,168
122,129,212,168
125,129,215,168
129,129,219,168
132,128,222,167
135,126,225,165
138,126,228,165
141,125,231,164
145,122,235,161
147,121,237,160
150,118,240,157
153,115,243,154
155,113,245,152
157,110,247,149
159,108,249,147
159,106,249,145
160,105,250,144
160,106,250,145
161,106,251,145
162,107,252,146
162,108,252,147
163,109,253,148
163,109,253,148
165,111,255,150
164,111,254,150
165,113,255,152
165,113,255,152
166,114,256,153
162,115,252,154
166,115,256,154
168,117,258,156
168,117,258,156
169,118,259,157
168,119,258,158
169,120,259,159
170,121,260,160
171,122,261,161
171,121,261,160
172,122,262,161
173,122,263,161
171,123,261,162
173,123,263,162
172,123,262,162
173,124,263,163
174,124,264,163
174,124,264,163
174,124,264,163
175,125,265,164
176,125,266,164
176,126,266,165
176,125,266,164
175,125,265,164
176,126,266,165
174,126,264,165
172,126,262,165
171,126,261,165
168,127,258,166
166,126,256,165
163,127,253,166
160,127,250,166
158,127,248,166
154,127,244,166
154,126,244,165
152,127,242,166
149,126,239,165
148,127,238,166
147,127,237,166
144,127,234,166
142,127,232,166
140,127,230,166
137,128,227,167
134,127,224,166
132,128,222,167
129,128,219,167
128,127,218,166
125,128,215,167
124,128,214,167
121,128,211,167
117,129,207,168
116,128,206,167
114,130,204,169
112,129,202,168
111,130,201,169
105,130,195,169
104,129,194,168
100,130,190,169
97,130,187,169
96,131,186,170
91,130,181,169
91,130,181,169
87,130,177,169
85,130,175,169
81,131,171,170
79,131,169,170
78,132,168,171
75,132,165,171
73,131,163,170
70,132,160,171
68,132,158,171
67,133,157,172
60,133,150,172
59,133,149,172
57,133,147,172
54,132,144,171
52,132,142,171
50,133,140,172
47,132,137,171
44,133,134,172
41,132,131,171
40,132,130,171
38,132,128,171
37,132,127,171
35,132,125,171
33,132,123,171
30,132,120,171
30,131,120,170
26,131,116,170
24,129,114,168
22,129,112,168
20,129,110,168
18,128,108,167
17,128,107,167
14,126,104,165
12,125,102,164
11,123,101,162
13,122,103,161
14,121,104,160
13,119,103,158
15,117,105,156
15,115,105,154
17,114,107,153
18,112,108,151
19,111,109,150
19,110,109,149
21,107,111,146
21,107,111,146
20,106,110,145
23,107,113,146
22,107,112,146
23,106,113,145
23,107,113,146
22,106,112,145
24,107,114,146
24,108,114,147
25,108,115,147
26,110,116,149
25,110,115,149
27,111,117,150
27,113,117,152
27,114,117,153
30,116,120,155
29,116,119,155
33,118,123,157
32,119,122,158
33,119,123,158
34,121,124,160
34,122,124,161
38,123,128,162
38,124,128,163
40,125,130,164
40,126,130,165
40,127,130,166
41,128,131,167
42,130,132,169
43,131,133,170
45,132,135,171
45,134,135,173
46,134,136,173
47,136,137,175
50,136,140,175
52,138,142,177
52,139,142,178
53,140,143,179
55,140,145,179
56,142,146,181
57,143,147,182
58,143,148,182
59,145,149,184
61,145,151,184
62,147,152,186
63,147,153,186
65,148,155,187
64,150,154,189
66,151,156,190
66,153,156,192
68,153,158,192
69,154,159,193
69,156,159,195
71,156,161,195
72,158,162,197
73,158,163,197
74,159,164,198
76,160,166,199
77,161,167,200
79,162,169,201
81,162,171,201
83,163,173,202
84,163,174,202
107,165,197,204
113,166,203,205
125,167,215,206
131,168,221,207
145,167,235,206
152,169,242,208
161,169,251,208
172,171,262,210
172,171,262,210
178,172,268,211
190,172,280,211
199,173,289,212
218,174,308,213
226,175,316,214
226,175,316,214
228,174,318,213
229,174,319,213
221,161,311,200
229,161,319,200
221,163,311,202
175,166,265,205
185,166,275,205
186,164,276,203
196,164,286,203
214,164,304,203
216,163,306,202
226,163,316,202
222,162,312,201
229,161,319,200
229,161,319,200
229,157,319,196
227,157,317,196
